Company	Paddle	Core Thickness (mm)	Condition	Price	Shape	Manufacturing Process	Surface Texture	Surface Material	Core Material	Spin RPM	Spin Percentile	Length (in)	Width (in)	Handle Length (in)	Static Weight (oz)	Swing Weight	Swing Weight Percentile	Twist Weight	Twist Weight Percentile	Balance Point (cm)	Balance Point Percentile	Serve Speed-MPH (Power)	Power Percentile	Punch Volley Speed-MPH (Pop)	Pop Percentile	Surface Hardness (Shore D)
Bird	Falcon Elite Ergo	14	New	229.0	Ergo	Cold Layered	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	1,806	30%	14.5	8	N/A	8.7					18.9	0%	52.8	22%	31	1%	89.8
Cheetah	Predion E16 Edgeless	16	New	200.0	Elongated	Thermoformed	Grit	3K Woven Carbon Fiber	Aramid Fiber Honeycomb	1,556	19%	16.5	7.5	5.5	7.7	106	11%	5.37	13%	23.3	24%	52.8	22%	34.3	38%	89.5
Cheetah	Predion E16-with lead tape	16	New	200.0	Elongated	Thermoformed	Grit	3K Woven Carbon Fiber	Aramid Fiber Honeycomb	1,556	19%	16.5	7.5	5.5	8.4	115	47%	7.23	95%	23.5	27%	54.1	41%	34.3	38%	89.5
CRBN	CRBN 1X	14	New	229.99	Elongated	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	2,244	93%	16.5	7.3	5.5	8	116	52%	5.78	28%	24.2	65%	54.7	54%	34.4	43%	89.5
CRBN	CRBN 2X	16	New	229.99	Standard	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	1,975	53%	15.8	8	4.75	8	110	24%	7.5	100%	23.5	27%	53.5	35%	34.4	43%	88.3
Diadem	Edge 18K	16	New	229.95	Elongated	Cold Layered	Peel Ply-Coarse	18k Carbon Fiber	Polypropylene Honeycomb	2,304	96%	16.4	7.5	5.3	7.9	122	78%	6.25	55%	24.1	60%	53	30%	34.1	29%	89
Diadem	Vice	16	New	224.95	Elongated	Unibody Edgeless	Grit	Carbon Fiber	EVA Foam	1,789	29%	16.4	7.4	5.3	7.9	114	41%	5.73	24%			59	98%	33.8	22%	78
Diadem	Warrior	19	New	229.95	Elongated	Cold Layered	Grit	Carbon Fiber	Polypropylene + Aramid	1,744	26%	16.4	7.4	5.3	8.6	133	100%	7.25	98%	24.7	89%	52.6	14%	31	1%	86.5
Electrum	Model E Stealth	16	New	220.0	Elongated	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	1,810	31%	16.5	7.3	5.38	7.7	107	17%	5	3%	23.3	24%	55.6	82%	35.6	82%	92.7
Electrum	Model E Stealth-with 0.5 oz. lead tape	16	New	220.0	Elongated	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	1,810	31%	16.5	7.3	5.38	8.2	109	22%	6.1	43%	23.2	20%	55	65%	35	66%	92.7
Electrum	Pro II Stealth	12	New	220.0	Standard	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	2,204	86%	16	7.8	5.25	7	93	1%	4.83	2%	23.1	16%	53.1	31%	36.4	94%	93.8
Electrum	Pro II Stealth-with 0.5 oz. lead tape	12	New	220.0	Standard	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	2,204	86%	16	7.8	5.25	7.5	97	3%	6.35	61%	22.8	15%	55	65%	36	91%	93.8
Electrum	Pro Stealth	12	New	220.0	Standard	Unibody Edgeless	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	1,927	48%	15.6	8.3	5	7.3	92	0%	5.63	15%	22.5	5%	52.6	14%	36.1	92%	93.2
Electrum	Pro Stealth-with 0.5 oz. lead tape	12	New	220.0	Standard	Unibody Edgeless	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	1,927	48%	15.6	8.3	5	7.3	93	1%	6.9	87%	22.3	4%	55	65%	35.7	86%	93.2
Gearbox	CX14H Ultimate Power	14	New	249.99	Standard	Unibody Edgeless	Grit	3K Woven Carbon Fiber	Toray T700 Carbon Fiber	1,962	51%	15.6	8	5.38	8.5	107	17%	5.78	28%	22	2%	51.1	2%	33.1	11%	88.7
Gearbox	Pro Control Elongated	14	New	274.99	Elongated	Hot Molded	Peel Ply-Coarse	Toray Carbon Fiber	Toray Carbon Fiber	2,130	77%	16.5	7.4	5.5	8.1	122	78%	5.07	5%	25	98%	56	92%	35.1	72%	91.2
Gearbox	Pro Control Fusion	14	New	274.99	Hybrid	Hot Molded	Peel Ply-Coarse	Toray Carbon Fiber	Toray Carbon Fiber	2,091	71%	16	7.4	5.5	8	115	47%	5.14	6%	24.5	78%	55.8	89%	35.4	81%	90
Gearbox	Pro Power Elongated	14	New	274.99	Elongated	Hot Molded	Peel Ply-Coarse	Toray Carbon Fiber	Toray Carbon Fiber	2,062	64%	16.5	7.4	5.5	8	120	68%	5.22	8%	24.9	95%	57.7	94%	36.6	96%	90.5
Gearbox	Pro Power Fusion	14	New	274.99	Hybrid	Hot Molded	Peel Ply-Coarse	Toray Carbon Fiber	Toray Carbon Fiber	2,113	75%	16	7.4	5.5	8	112	32%	5.14	6%	24.2	65%	57.9	95%	36.8	97%	90.3
GRYP	Balance 1 - 10g cap	15	New	200.0	Elongated	Thermoformed	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,107	74%	16.5	7.5	5.5	8.3	113	37%	6	38%	22.7	11%	54.9	61%	34.7	53%	93
GRYP	Balance 1 - 25g cap	16	New	200.0	Elongated	Thermoformed	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,042	61%	16.5	7.5	5.5	8.8	114	40%	6	38%	21.5	1%	55.5	80%	34.9	59%	93
Joola	Hyperion CFS	16	Used-3 months	219.95	Elongated	Hybrid	Peel Ply-Coarse	Carbon Fiber	Polypropylene Honeycomb	1,333	13%	16.5	7.5	5.5	8.4	127	92%	6.57	74%	24.8	93%	51.6	6%			90.8
Joola	Hyperion CFS	16	New	219.95	Elongated	Hybrid	Peel Ply-Coarse	Carbon Fiber	Polypropylene Honeycomb	1,725	23%	16.5	7.5	5.5	8.4	127	92%	6.57	74%	24.8	93%	51.6	6%			90.8
Joola	Hyperion CFS Swift	16	New	219.95	Elongated	Hybrid	Peel Ply-Coarse	Carbon Fiber	Polypropylene Honeycomb	1,420	14%	16.5	7.5	5.5	7.9											
Joola	Scorpeus Collin Johns	16	New	249.95	Standard	Thermoformed	Peel Ply-Coarse	Carbon Fiber	Polypropylene Honeycomb	1,889	44%	16	8	5.25	8.1	114	41%	6.95	91%	23.9	48%	52.2	13%	34.1	29%	92
ProKennex	Black Ace Pro	10	New	250.0	Standard	Thermoformed	Peel Ply	Toray Carbon Fiber	Polypropylene Honeycomb	1,848	35%	15.8	7.6	5.3	8.1	105	9%	6.17	49%	22.6	9%	54.5	48%	37.4	99%	88.7
ProKennex	Black Ace Pro	10	Used-3 months	250.0	Standard	Hot Molded	Peel Ply	Toray Carbon Fiber	Polypropylene Honeycomb	1,525	18%	15.8	7.6	5.3	8.1	105	9%	6.17	49%	22.6	9%	54.5	48%	37.4	99%	88.7
Prokennex	Pro Spin	11	New	220.0	Standard	Unibody Edgeless	Grit	Composit with Submerged Strings	Polypropylene Honeycomb	1,477	15%	15.7	7.6	5.12	7.6											
ProXR	Connor Garnett	14	New	209.99	Elongated	Thermoformed	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,163	79%	16.5	7.5	6	8.2	110	24%	5.52	14%	22.5	5%	54.1	41%	34.1	29%	88.2
ProXR	"Zane Navratil ""The Standard"""	14	New	209.99	Standard	Thermoformed	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,260	94%	16	8	5.25	8.2	107	17%	6.92	90%	22.7	11%	54.6	51%	34.7	53%	89
Rokne	Republic 2.16 Standard	16	New	209.99	Hybrid	Cold Layered	Grit	Mitsubishi T700 Carbon Fiber	Polypropylene Honeycomb	1,176	7%	16.3	7.5	5.5	8.4	126	91%	6.5	69%	24.6	87%	52.7	20%	32.8	10%	91.2
Selkirk	Epic Vanguard	16	New	200.0	Standard	Cold Layered	Grit	Carbon Fiber	Polypropylene Honeycomb	1,285	12%	15.8	8	5.25	7.9											
Selkirk	Luxx Control Air Invikta	20	New	250.0	Elongated	Unibody Edgeless	Grit	Fiberglass & Carbon Fiber	Polypropylene Honeycomb	2,229	91%	16.5	7.5	5.35	8.1	120	68%	5.96	37%	24.4	74%	51.6	6%	33.1	11%	87.3
Selkirk	Project 003	20	New	333.0	Standard	Unibody Edgeless	Grit	3K Woven Carbon Fiber	Polypropylene Honeycomb	1,903	44%	15.9	7.9	5.25	7.7											
Selkirk	Vanguard Power Air Invikta	12.7	Used-1 month	250.0	Elongated	Unibody Edgeless	Grit	Fiberglass & Carbon Fiber	Polypropylene Honeycomb	1,172	6%	16.5	7.4	5.25	7.8	106	11%	5.31	10%	23.1	16%	52.6	14%	35.8	89%	84.2
Selkirk	Vanguard Power Air Invikta	12.7	New	250.0	Elongated	Unibody Edgeless	Grit	Fiberglass & Carbon Fiber	Polypropylene Honeycomb	2,176	82%	16.5	7.4	5.25	7.8	106	11%	5.31	10%	23.1	16%	52.6	14%	35.8	89%	84.2
Selkirk	Vanguard Power Air S2	12.7	New	250.0	Standard	Unibody Edgeless	Grit	Fiberglass & Carbon Fiber	Polypropylene Honeycomb	2,077	67%	15.8	8	5.38	7.8											84.2
Six Zero	Infinity Double Black Diamond	16	New	220.0	Hybrid	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	2,052	62%	16.3	7.7	5.5	8.1	110	24%	5.8	30%	23.2	20%	54.4	47%	34.9	59%	89.7
Six Zero	Ruby	16	New	220.0	Hybrid	Thermoformed	Peel Ply-Coarse	Dupont Kevlar	Polypropylene Honeycomb	2,271	94%	16.3	7.7	5.5	8.3	117	57%	6.81	86%	23.7	34%	55.6	82%	34.5	47%	91
